Item Lookup Code,Department,Category,Description,Quantity Sold,Sales,Last Sold,Cost,Cost Sold,Non Sale Movement,Last Received
78633025,TOBACCO VAPE,45mg VAPE,POSH XL STRAWBERRY BANANA10PK,1,$69.99,4/30/2025 17:05,$62.12,$62.12,0,8/28/2024 12:32
78634008,TOBACCO VAPE,70mg VAPE,POSH MAX5200 STRAWBERRY ICE5PK,2,$107.98,4/15/2025 10:55,$43.12,$86.24,0,2/7/2025 14:07
78635319,TOBACCO VAPE,45mg VAPE,POSH XL CHERRY FROST 10PK,1,$69.95,4/16/2025 16:28,$64.50,$64.50,0,2/20/2024 15:15
78639720,TOBACCO VAPE,42.5mg  VAPE,POSH PLUS MANGOSTRAW 3000 5CT,2,$93.94,4/16/2025 15:53,$41.98,$83.96,0,2/7/2025 14:07
78643024,TOBACCO VAPE,42.5mg  VAPE,POSH PLUS KIWI MELON 3000 5CT,0,$0.00,3/26/2025 10:37,$37.95,$0.00,-1,2/7/2025 14:07
78654709,TOBACCO VAPE,45mg VAPE,POSH XL STRAWBERRY 10PK,1,$69.99,4/30/2025 17:05,$62.12,$62.12,0,2/7/2025 18:57
78659841,TOBACCO VAPE,42.5mg  VAPE,POSH PLUS PEACH MELBA 3000 5CT,1,$46.95,4/16/2025 15:53,$41.98,$41.98,0,2/7/2025 14:07
78663022,TOBACCO VAPE,42.5mg  VAPE,POSH PLUS JOJO 3000 PUFF 5CT,1,$46.95,4/16/2025 15:53,$37.95,$37.95,0,2/7/2025 14:07
78670297,TOBACCO VAPE,70mg VAPE,POSH MAX5200 MANGO LYCHEE 5PK,1,$53.95,4/7/2025 12:34,$43.70,$43.70,0,6/5/2024 13:26
78673618,TOBACCO VAPE,42.5mg  VAPE,POSH PLUS BERRY MELON 3000 5CT,1,$46.95,4/16/2025 15:53,$37.95,$37.95,0,2/7/2025 14:07
78690646,TOBACCO VAPE,45mg VAPE,POSH XL GUMMY BEAR ICE 10PK,1,$69.95,4/24/2025 15:25,$64.40,$64.40,-5,2/20/2024 15:15
78694309,TOBACCO VAPE,42.5mg  VAPE,POSH PLUS GRAPE ICE 3000 5CT,1,$46.99,5/13/2025 9:46,$37.95,$37.95,0,2/7/2025 14:07
78696372,TOBACCO VAPE,45mg VAPE,POSH XL KIWI STRAWBERRY 10PK,7,$489.85,4/16/2025 16:28,$61.00,$427.00,0,2/7/2025 18:57
78698765,TOBACCO VAPE,42.5mg  VAPE,POSH PLUS RED APPLE ICE3K 5CT,2,$93.94,4/16/2025 15:53,$41.98,$83.96,0,6/5/2024 13:26
787188891216,SUPPLEMENTS,,VIP ROYAL HONEY PILL 24CT,2,$100.00,4/26/2025 12:16,$24.00,$48.00,0,1/27/2025 11:33
787188892008,,,RHINO 69 300K,2,$30.00,5/9/2025 11:25,$10.00,$20.00,0,12/1/2023 17:40
792138338215,SUPPLEMENTS,,VVIP HONEY PLATINUM,5,$50.00,5/10/2025 12:46,$3.50,$17.50,0,11/30/2024 12:44
793573938466,SUPPLEMENTS,,SW PILLS 24CT,1,$32.00,5/10/2025 14:40,$17.99,$17.99,0,3/19/2024 13:38
793573944580,SUPPLEMENTS,,SWAG PILLS 24CT,0,$0.00,3/6/2025 12:55,$17.99,$0.00,42,4/30/2025 14:28
795847916507,SUPPLEMENTS,,KANGAROO HONEY COCONUT 15CT,1,$25.00,4/21/2025 10:19,$15.00,$15.00,0,9/17/2024 15:34
799793390183,SMOKE SUPPLIES,,DANKLEAF STRAWBERRY PUNCH 10PK,1,$42.00,4/24/2025 9:59,$32.00,$32.00,0,
810125434556,TOBACCO VAPE,80mg Vape,GEEK BAR 15K WATERMELON 5C,6,$311.82,4/24/2025 9:55,$44.28,$265.68,0,3/25/2025 14:47
810125434631,TOBACCO VAPE,80mg Vape,GEEK BAR 15K JUICY PEACH 5C,1,$51.99,5/1/2025 12:32,$44.28,$44.28,0,3/25/2025 14:47
810125434655,TOBACCO VAPE,80mg Vape,GEEK BAR 15K MEXI MANGO 5C,1,$51.99,5/13/2025 16:02,$44.28,$44.28,0,3/25/2025 14:47
810125434679,TOBACCO VAPE,80mg Vape,GEEK BAR 15K SOUR APPLE 5C,1,$51.95,5/13/2025 16:02,$44.28,$44.28,0,3/25/2025 14:47
810125434693,TOBACCO VAPE,80mg Vape,GEEK BAR 15K TROP RAINBOW 5C,2,$103.98,4/24/2025 9:55,$44.28,$88.56,0,3/25/2025 14:47
810125434754,TOBACCO VAPE,80mg Vape,GEEK BAR 15K FCUKIN FAB 5C,2,$103.98,4/24/2025 9:55,$44.28,$88.56,0,3/25/2025 14:47
810125434778,TOBACCO VAPE,80mg Vape,GEEK BAR 15K STRAW MANGO 5C,3,$155.93,5/1/2025 12:32,$44.28,$132.84,0,3/25/2025 14:47
810125434792,TOBACCO VAPE,80mg Vape,GEEK BAR 15K STRAW BANANA 5C,2,$103.98,4/24/2025 9:55,$44.28,$88.56,0,3/25/2025 14:47
810125435911,TOBACCO VAPE,80mg Vape,GEEK BAR 15K CALI CHERRY 5C,2,$103.98,5/13/2025 16:02,$44.28,$88.56,0,3/25/2025 14:47
810125435935,TOBACCO VAPE,80mg Vape,GEEK BAR 15K BLUE RAZZ 5C,4,$207.92,4/24/2025 9:55,$44.28,$177.12,0,3/25/2025 14:47
810125435959,TOBACCO VAPE,80mg Vape,GEEK BAR 15K MIAMI MINT 5C,2,$103.94,5/6/2025 16:43,$44.28,$88.56,0,3/25/2025 14:47
810125436963,TOBACCO VAPE,80mg Vape,GEEK BAR 15K BLUEBERRY MELON5C,2,$103.94,5/13/2025 16:02,$44.28,$88.56,0,3/25/2025 14:47
810125437007,TOBACCO VAPE,80mg Vape,GEEK BAR 15K BERRY BLISS 5C,1,$51.95,5/1/2025 12:32,$44.28,$44.28,0,3/25/2025 14:47
810125437069,TOBACCO VAPE,80mg Vape,GEEK BAR 15K CRAZY MELON 5C,2,$103.98,4/30/2025 17:05,$44.28,$88.56,0,3/25/2025 14:47
810125438356,TOBACCO VAPE,90mg Vape,GEEKBAR 25K SOUR FCUKING FAB5C,1,$63.00,4/28/2025 15:31,$55.78,$55.78,0,12/24/2024 11:32
810125438370,TOBACCO VAPE,90mg Vape,GEEKBAR 25K ORANGE FAB 5C,1,$63.00,5/13/2025 16:02,$55.78,$55.78,0,3/25/2025 14:47
810125438455,TOBACCO VAPE,90mg Vape,GEEKBAR 25K SOUR APPLE 5C,1,$63.00,5/9/2025 12:19,$55.78,$55.78,0,3/25/2025 14:47
810128941136,,,DOUBLE DIA HEMP WRAP ROSE PETA,1,$13.50,4/8/2025 10:45,$9.95,$9.95,0,4/3/2024 17:13
810128944069,SMOKE SUPPLIES,,BLUE DIA PINK LEMONADE,3,$165.00,5/1/2025 14:05,$48.95,$146.85,0,10/28/2024 10:32
810128944076,SMOKE SUPPLIES,,BLUE DIA PURPLE PUNCH,4,$220.00,4/24/2025 9:59,$48.95,$195.80,0,10/28/2024 10:32
810134921863,WRAPS/FILTERS/HEMP/CONES,WRAPS/PREROLL,BLAZY SUSAN PINK CONE 1 1/4 6P,1,$36.00,5/13/2025 10:33,$28.80,$26.50,12,12/24/2024 12:24
810164280947,TOBACCO VAPE,80mg Vape,GEEK BAR 15K COOL MINT 5C,3,$155.97,5/1/2025 12:32,$44.28,$132.84,0,3/25/2025 14:47
811254033351,,,DOUBLE DIAMOND GREEN KING SIZE,1,$12.50,4/11/2025 16:56,$10.00,$10.00,0,4/3/2024 17:13
811435002145,SMOKE SUPPLIES,,CHORE BOY 36CT,26,$601.00,5/8/2025 10:27,$20.00,$492.00,0,1/24/2025 11:53
812934024270,ELECTRONICS & ACCESSORIES,,WARNER ANDROID CABLE ,49,$98.00,5/7/2025 16:43,$1.25,$61.25,0,3/6/2024 17:02
812934026021,ELECTRONICS & ACCESSORIES,,WARNER HOME ADAPTOR,42,$115.50,4/21/2025 10:19,$1.75,$73.50,0,10/7/2024 10:25
812934026236,ELECTRONICS & ACCESSORIES,,WARNER IPHONE CABLE LOOSE,59,$118.00,5/2/2025 10:05,$1.06,$62.54,0,10/26/2024 15:02
813525013727,WRAPS/FILTERS/HEMP/CONES,,GOLDEN HARVEST RED KING,10,$100.00,4/19/2025 10:42,$8.20,$82.00,0,8/23/2024 11:17
813525013758,WRAPS/FILTERS/HEMP/CONES,,GOLDEN HARVEST RED 100'S,10,$110.00,4/21/2025 17:11,$9.50,$95.00,0,8/23/2024 11:17
813525013765,WRAPS/FILTERS/HEMP/CONES,,GOLDEN HARVEST BLUE 100'S,9,$99.00,4/11/2025 10:51,$9.50,$85.50,0,9/19/2023 14:26
815154020008,FOOD & BEVERAGE,ENERGY DRINK,NOS ENERGY 16OZ /24,1,$38.00,5/13/2025 10:26,$29.99,$29.99,0,9/24/2024 12:44
815556020415,MEDS/DAILY CARE,,BENADRYL 24 CT,2,$21.00,5/13/2025 9:56,$8.00,$16.00,0,4/18/2024 10:34
815556020507,MEDS/DAILY CARE,,ALEVE ALL DAY 20CT,1,$9.90,4/11/2025 10:11,$6.99,$6.99,0,5/28/2024 15:25
816568010227,WRAPS/FILTERS/HEMP/CONES,,SHARGIO TUBE 100 RED 250CT ,1,$10.00,5/7/2025 16:19,$8.50,$8.50,0,9/19/2023 14:26
816568010234,,,SHARGIO TUBE 100 BLUE 250CT ,5,$47.50,4/4/2025 14:36,$8.00,$40.00,0,9/19/2023 14:26
816568010340,WRAPS/FILTERS/HEMP/CONES,,SHARGIO RED CIG TUBE 200 KING,1,$11.00,5/10/2025 11:21,$9.00,$9.00,0,10/15/2022 14:32
817458027103,WRAPS/FILTERS/HEMP/CONES,,WILD HEMP SWEETZ WRAP,1,$12.50,5/9/2025 12:19,$9.50,$9.50,0,9/19/2023 14:26
817458027127,WRAPS/FILTERS/HEMP/CONES,,WILD HEMP ISLAND TWIST WRAP,2,$25.00,4/2/2025 9:26,$9.50,$19.00,0,3/5/2021 14:20
817458027271,WRAPS/FILTERS/HEMP/CONES,,WILD HEMP HONEY LEMON WRAP,1,$12.50,4/2/2025 9:26,$9.25,$9.25,0,9/19/2023 14:26
818136007103,SUPPLEMENTS,,TOTAL DETOX 10OZ,26,$268.00,5/6/2025 11:07,$3.13,$81.25,0,6/24/2023 11:40
819913011429,TOBACCO VAPE,2.8mg VAPE,JUUL VIRGINIA TOBACCO 5% 4PK,16,$247.60,5/2/2025 10:17,$14.95,$239.20,0,10/25/2024 16:29
840110700076,SMOKE SUPPLIES,,ZENGAZ LIGHTER 48CT,1,$108.00,4/21/2025 10:19,$88.00,$88.00,0,11/16/2024 13:41
840439106344,WRAPS/FILTERS/HEMP/CONES,,ZIG ZAG HEMP WRAP ISLAND VIBES,1,$13.99,4/7/2025 14:21,$11.50,$11.50,0,9/19/2023 14:26
850296000945,SMOKE SUPPLIES,,BEST WHIP CREAM CHARGERS 50CT,1,$216.00,5/2/2025 14:06,$15.90,$15.90,0,11/7/2022 14:48
852682508219,MEDS/DAILY CARE,EYE DROPS,VISINE 6PK,1,$11.00,4/8/2025 17:25,$9.00,$9.00,0,1/24/2024 16:29
852812005243,SMOKE SUPPLIES,,IGNITUS PREMIUM REFINED BUTANE,7,$36.00,4/14/2025 17:02,$0.00,$0.00,0,4/24/2019 14:05
855022005669,,,ON WINTERGREEN 2MG,2,$37.50,5/6/2025 10:37,$17.56,$0.00,0,
855022005676,NICOTINE POUCH,,ON MINT POUCH 2MG,1,$18.75,4/8/2025 10:48,$17.56,$16.50,0,6/10/2024 10:55
855022005690,,,ON CITRUS 2MG,1,$18.75,4/8/2025 10:48,$17.56,$16.55,0,
855022005720,NICOTINE POUCH,,ON WINTERGREEN 4MG,7,$135.75,5/13/2025 9:39,$17.56,$121.91,0,11/30/2024 14:32
855022005737,NICOTINE POUCH,,ON MINT 4MG,2,$38.50,4/29/2025 11:50,$15.45,$30.90,0,9/30/2024 11:21
855022005751,NICOTINE POUCH,,ON CITRUS 4MG,1,$18.75,5/12/2025 10:44,$17.56,$16.50,0,10/28/2024 11:56
855022005782,,,ON WINTERGREEN 8MG,2,$39.50,4/15/2025 10:47,$17.56,$35.12,0,
855553008078,ELECTRONICS & ACCESSORIES,,BBQ LIGHTER 1CT,6,$7.50,4/25/2025 11:55,$0.70,$4.20,0,7/27/2023 15:39
856905003048,FOOD & BEVERAGE,,MANZELA JAPANESE PEANUTS 40 pk,14,$472.50,5/13/2025 16:02,$11.99,$167.86,0,11/30/2024 11:46
856905003239,FOOD & BEVERAGE,,MANZELA 180GM PEANUTS 10CT,48,"$1,435.50",5/13/2025 16:02,$7.99,$383.52,0,11/30/2024 11:46
870087000046,PLASTIC/PAPER GOODS,,PAPER BAG #2 500CT,107,$712.70,5/13/2025 9:56,$5.60,$599.20,0,1/17/2021 15:34
8850338008689,,,HALLS RASPBERRY,2,$45.00,5/12/2025 15:04,$16.50,$33.00,0,9/17/2024 14:51
887969011762,NICOTINE POUCH,,ZONE WINTERGREEN 9MG,1,$19.90,4/19/2025 11:23,$17.79,$17.79,0,9/30/2024 11:21
887969011823,NICOTINE POUCH,,ZONE MINT 6MG,1,$19.90,4/19/2025 11:23,$17.79,$17.79,0,9/30/2024 11:21
888122355662,,,SPANISH FLY HONEY,1,$15.00,5/9/2025 11:25,$8.00,$8.00,0,9/17/2024 14:51
8904227315898,SMOKE SUPPLIES,,BLUNT BLACK SPRAY 18CT,7,$192.50,5/13/2025 9:56,$20.00,$140.00,0,
8904234400051,SMOKE SUPPLIES,,NAG CHAMPA,21,$199.50,5/10/2025 11:01,$4.50,$94.50,0,6/11/2024 14:25
8906019565030,PLASTIC/PAPER GOODS,PLASTIC CUPS,SHOT GLASS 1OZ 50CT,267,$331.85,5/13/2025 9:46,$0.69,$184.23,9555,5/19/2023 15:49
8906026890606,SMOKE SUPPLIES,,BLACK NAGCHAMPA,4,$38.00,4/14/2025 17:02,$7.00,$28.00,0,10/15/2019 14:22
894135001021,TOBACCO,SMOKE TOBACCO,GOOD STUFF GOLD BAG 16OZ,1,$16.50,4/23/2025 11:58,$13.94,$13.94,0,5/6/2025 12:38
894135001038,TOBACCO,SMOKE TOBACCO,GOOD STUFF MENTHOL BAG 16OZ,1,$16.50,4/30/2025 17:05,$13.94,$13.94,0,5/6/2025 12:38
894135001175,TOBACCO,SMOKE TOBACCO,GOOD STUFF RED BAG 6OZ,1,$7.99,4/30/2025 17:05,$6.39,$6.39,0,8/16/2024 12:03
894135001182,TOBACCO,SMOKE TOBACCO,GOOD STUFF GOLD BAG 6OZ,1,$7.99,4/29/2025 11:50,$6.39,$6.39,0,8/16/2024 12:03
894135001199,TOBACCO,SMOKE TOBACCO,GOOD STUFF MENTHOL  6OZ,2,$15.98,5/8/2025 10:32,$6.39,$12.78,0,8/16/2024 12:03
894135001205,TOBACCO,SMOKE TOBACCO,GOOD STUFF MENTHL GOLD BG 6OZ ,1,$7.30,4/17/2025 11:39,$6.12,$6.12,0,8/8/2016 20:35
894135001281,TOBACCO,SMOKE TOBACCO,GOOD STUFF SILVER  BAG 6OZ,1,$7.99,5/1/2025 12:42,$6.39,$6.39,0,8/16/2024 12:03
896715002329,SMOKE SUPPLIES,MISC,CHARCOAL ROCKS 6.6OZ,4,$91.00,5/9/2025 11:45,$19.50,$78.00,0,11/11/2024 11:06
90073854004015,LIQUOR SUPPLIES,,AVIATOR PLAYING CARDS 12PK,6,$113.45,5/10/2025 12:46,$15.50,$93.00,0,2/17/2025 17:18
9554100191997,,,ETMUX ROYAL HONEY 12 CT 10 G,1,$14.00,4/5/2025 10:55,$9.99,$9.99,0,9/13/2019 14:32
9555755800036,SUPPLEMENTS,,VIP HONEY 12 PK,47,$329.00,5/8/2025 17:08,$3.50,$164.50,0,12/24/2024 13:35
9556296142753,SUPPLEMENTS,,KINGDOM ROYAL CHOCO 12PK,9,$115.00,4/29/2025 11:50,$9.50,$85.50,0,
9557558328212,MEDS/DAILY CARE,,VIP HONEY 24CT,16,$474.00,5/13/2025 9:56,$18.00,$288.00,0,11/30/2024 12:44
9780201379631,,,V-GRA GOLD 500MG 20CT JAR,1,$55.00,4/9/2025 16:27,$40.00,$40.00,0,9/19/2023 17:49
9X12 BAG,PLASTIC/PAPER GOODS,,POLY 9X12 BAG 2000CT,411,"$4,623.75",5/6/2025 16:53,$60.00,$0.00,411,
AXE,MEDS/DAILY CARE,,AXE DEODRANT SPRAY 6PK,5,$75.00,5/13/2025 9:56,$10.50,$52.50,0,11/30/2024 12:44
BIC 3 TIER DISPLAY,SMOKE SUPPLIES,LIGHTERS,BIC 3 TIER DISPLAY ,1,$165.00,4/29/2025 11:33,$135.00,$135.00,0,1/6/2023 12:26
BIC 6 TIER DISPLAY 300PC ,SMOKE SUPPLIES,LIGHTERS,BIC 6 TIER DISPLAY 300PC ,7,"$2,468.99",5/13/2025 18:23,$295.99,"$2,071.93",0,9/19/2023 11:40
BIC LIGHTER DISPLAY 210CT,SMOKE SUPPLIES,LIGHTERS,BIC LIGHTER DISPLAY 210CT,2,$285.00,4/23/2025 14:20,$128.00,$256.00,0,7/27/2020 12:31
BREEZECITRUS,TOBACCO VAPE,60mg VAPE,BREEZE CIRTUS 10CT,1,$105.50,4/25/2025 17:18,$101.20,$101.20,0,3/25/2025 15:36
CARD,FREIGHT OR SERVICE CHARGE,,CREDIT CARD FEE 3%,2,$94.75,4/28/2025 13:44,$0.00,$0.00,0,
COKE REG,FOOD & BEVERAGE,SODA,COCA COLA 20OZ 24PK,10,$320.00,5/1/2025 12:32,$27.00,$270.00,0,10/28/2024 10:26
COKE16OZ,FOOD & BEVERAGE,SODA,COKE 16 OZ 24CT,1,$32.00,4/28/2025 14:16,$28.50,$28.50,0,
DARTRED,PLASTIC/PAPER GOODS,,DART RED CUPS 16OZ 16CT,326,"$3,304.40",5/2/2025 14:16,$0.61,$199.51,0,
Dis,,,Discount,1,"$1,195.49",5/12/2025 15:23,$0.00,$0.00,0,9/19/2023 12:11
DISPOCASE,SMOKE SUPPLIES,LIGHTERS,DISPOSABLE CLEAR LIGHTERS CASE,37,"$2,435.00",5/8/2025 9:46,$60.00,"$2,220.00",0,3/28/2023 16:52
DK12X8POLYBAG,PLASTIC/PAPER GOODS,,POLY 12X18 DK 1000CT,1,$90.00,5/6/2025 16:53,$25.00,$0.00,0,
FCP325,,,MULTI COLOR TWIST PIPE,10,$25.00,4/24/2025 13:14,$1.25,$12.50,0,
FGH01,,,GLASS HAMMER BUBBLER 5 5,3,$12.00,4/8/2025 16:49,$2.99,$8.97,0,2/13/2021 11:42
FGH02,,,GLASS BUBBLER 5 5,2,$9.50,4/8/2025 16:49,$3.50,$7.00,0,2/13/2021 11:42
FP206,,,2.5 CHINA ROAD,4,$7.00,4/24/2025 13:14,$0.95,$3.80,0,
FP208,,,SINGLE HIT PIPE,10,$17.50,4/15/2025 10:27,$1.00,$10.00,0,
FREIGHT,FREIGHT OR SERVICE CHARGE,,FREIGHT CHARGE,4,"$4,052.57",5/9/2025 17:01,$0.00,$0.00,0,12/30/2020 12:43
GARBAGE BAG 38x58,PLASTIC/PAPER GOODS,,BLACK GARBAGE BAG 38x58-55GAL,192,"$3,758.50",5/9/2025 11:25,$18.26,"$3,505.92",0,8/10/2016 15:34
GARBAGE BAG 40x46,PLASTIC/PAPER GOODS,,BLACK GARBAGE BAG 40x46 -45GAL,10,$185.00,5/5/2025 16:26,$16.00,$160.00,0,8/10/2016 15:34
GARBAGEBAG33/39,PLASTIC/PAPER GOODS,PLASTIC BAGS,GARBAGE BAG 33/39,2,$53.00,4/28/2025 14:16,$7.65,$15.30,0,6/12/2024 17:07
GIFTBAG,LIQUOR SUPPLIES,,GIFT BAG 12CT,7,$94.50,5/12/2025 10:44,$8.50,$59.50,0,1/24/2025 11:47
GLASS COKE,FOOD & BEVERAGE,SODA,COCA COLA GLASS BOTTLE,6,$228.00,5/6/2025 14:11,$33.99,$203.94,0,1/24/2025 14:24
GOFRESH,PLASTIC/PAPER GOODS,GO FRESH BAGS,GO FRESH BAG,9267,"$83,403.00",4/23/2025 13:09,$8.32,"$77,101.44",0,9/19/2023 14:50
GOKUL,WRAPS/FILTERS/HEMP/CONES,,GOKUL INCENSE ASSORTED 6CT,5,$12.50,5/6/2025 15:13,$0.95,$4.75,0,6/12/2023 11:48
GWBAG,PLASTIC/PAPER GOODS,,GARBAGE BAG 38/58,5,$110.00,4/23/2025 11:31,$21.50,$107.50,0,9/19/2023 14:50
IMB100,SMOKE SUPPLIES,PIPES,5 INSIDE OUT MED BUBBLER,2,$10.00,4/8/2025 16:49,$2.75,$5.50,0,5/21/2018 16:00
JEWELRY ZIPLOCK BAGS 50CT,SMOKE SUPPLIES,,JEWELRY ZIPLOCK BAGS 50CT,1,$3.00,4/29/2025 12:12,$2.00,$2.00,0,
LIFESTYLEJAR,MEDS/DAILY CARE,,LIFE STYLE LOOSE JAR 48 CT,2,$26.00,4/19/2025 12:11,$10.50,$21.00,0,7/5/2023 16:07
MACHINEPALLETWRAP,,,MACHINE PALLET WRAP 6500,98,"$4,704.00",4/29/2025 14:19,$42.00,"$4,116.00",0,
METALSLIDE,SMOKE SUPPLIES,PIPES,METAL SLIDE MEDIUM RJ-7,10,$12.00,4/15/2025 16:34,$0.50,$5.00,0,5/21/2018 16:00
MONSTER,FOOD & BEVERAGE,ENERGY DRINK,MONSTER GREEN 16 OZ 24CT,74,"$2,997.00",5/10/2025 11:04,$36.00,"$2,442.00",0,5/1/2025 14:39
MONSTER GRONK 16OZ,FOOD & BEVERAGE,,MONSTER GRONK 16OZ,2,$81.00,4/19/2025 10:42,$34.00,$68.00,0,9/16/2019 14:40
OG CHILLIUM SINGLE ,SMOKE SUPPLIES,,OG CHILLIUM SINGLE ,204,$420.00,4/30/2025 12:35,$0.65,$132.60,0,8/13/2020 15:02
OG CHILLUM,SMOKE SUPPLIES,,OG CHILLIUM DISPLAY 100PCS,-65,-$48.75,4/30/2025 12:35,$76.00,"-$4,940.00",0,9/8/2021 10:20
PIPETREE,SMOKE SUPPLIES,PIPES,GLASS PIPE DISPLAY 100CT,5,$886.25,4/25/2025 14:01,$140.00,$700.00,0,1/26/2021 11:08
PLASTICKNIFE1000CT,PLASTIC/PAPER GOODS,,PLASTIC KNIFE 1000CT,5,$93.05,5/5/2025 16:26,$16.61,$83.05,0,
RED,PLASTIC/PAPER GOODS,,RED SHOT GLASS,53,$39.37,5/7/2025 18:10,$0.69,$36.57,0,
REDSHOT,LIQUOR SUPPLIES,,RED SHOTGLASS 20PK,5,$6.25,5/9/2025 14:56,$1.00,$5.00,0,
RHINO GOLD PLUS 100000K,,,RHINO GOLD PLUS 100000K,-1,-$55.00,4/14/2025 17:21,$21.00,-$21.00,0,5/31/2018 12:57
RHINO PLATINUM PLUS ,SUPPLEMENTS,,RHINO PLATINUM PLUS 100000K,1,$55.00,4/14/2025 17:02,$21.00,$21.00,0,5/31/2018 12:57
SINGLEBOTTLE,PLASTIC/PAPER GOODS,,SINGLE BOTTLE THANK YOU BAG,9,$77.50,5/10/2025 15:43,$5.02,$45.18,6497,9/19/2023 14:50
TROJAN,MEDS/DAILY CARE,,TROJAN MAGNUM LOOSE 48CT,9,$193.50,5/10/2025 11:00,$16.50,$148.50,0,4/5/2024 13:10
WICKEDBAG,PLASTIC/PAPER GOODS,,WICKED BAG 2000CT,204,"$8,670.00",4/28/2025 16:22,$0.00,$0.00,204,
X000QHIA7X,PLASTIC/PAPER GOODS,,2 1/4 x 50 THERMAL ROLLS 50CT,12,$222.00,4/21/2025 10:19,$13.00,$156.00,0,6/6/2023 15:36
X0040U0Z25,MEDS/DAILY CARE,,ALKA SELTZER 24T 2PK ,4,$50.00,4/10/2025 16:47,$9.99,$39.96,0,
X004B4BFGF,WRAPS/FILTERS/HEMP/CONES,,JOB .99 1 1/4,3,$189.00,5/8/2025 10:27,$56.50,$169.50,0,11/16/2024 13:41
XMB50,SMOKE SUPPLIES,PIPES,XMB50 BBLR 1PK,1,$3.00,4/24/2025 13:14,$1.35,$1.35,0,5/21/2018 16:00
XMB70,SMOKE SUPPLIES,PIPES,XMB -70 SMALL BUBBLER 70G 1CT,2,$8.50,4/8/2025 16:49,$2.00,$4.00,0,
